algorithm,seed,carbon_total,avg_carbon,avg_latency,avg_hops,switch_rate
C,42,42878.69153550165,1071.9672883875414,14.942361111111108,2.0,5.0
C,43,37683.39739417226,942.0849348543064,16.5311507936508,2.075,5.0
C+IncD,42,45287.425316055036,1132.1856329013758,14.194444444444443,1.95,0.0
C+IncD,43,38928.07753209893,973.2019383024732,15.377380952380951,2.0,0.0
CE,42,48282.609348868005,1207.0652337217002,16.422222222222224,2.15,0.0
CE,43,45864.88279029801,1146.6220697574504,17.76071428571429,2.35,0.0
OSPF,42,47094.13689717039,1177.3534224292598,14.277777777777775,1.95,0.0
OSPF,43,41195.600679357005,1029.890016983925,15.303968253968256,2.0,0.0
baseline_latency,42,45704.75577340053,1142.6188943350132,14.106944444444443,1.95,0.0
baseline_latency,43,41842.70706952642,1046.0676767381606,15.262301587301588,2.0,0.0
carbon_optimal_as_path,42,42878.69153550165,1071.9672883875414,14.942361111111108,2.0,5.0
carbon_optimal_as_path,43,37742.60812500337,943.5652031250842,15.901984126984129,2.0,0.0
ciro_core,42,45836.85431589918,1145.9213578974795,15.298611111111109,2.1,0.0
ciro_core,43,38931.95149086838,973.2987872717094,15.621825396825397,2.0,0.0
lowcarb_bgp,42,42878.69153550165,1071.9672883875414,14.942361111111108,2.0,5.0
lowcarb_bgp,43,37742.60812500337,943.5652031250842,15.901984126984129,2.0,0.0
